A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
694,1.583.973.044,-1.220.156.964,-2.654.160.049,263.113.563,-711.733.235,484.312.026,-142.480.894,bad
695,-2.993.467.034,-1.352.156.231,-1.114.300.386,879.548.838,1.695.973.833,1.372.209.687,3.764.854.713,bad
696,-632.413.036,-1.626.405.702,-2.042.109.019,1.985.253.507,-47.050.198,-5.982.958,-3.024.115.524,bad
697,-1.104.933.957,-43.345.437,856.840.165,-79.904.861,259.354.048,-586.164.893,-3.786.816.268,good
698,-22.987.707,1.138.251.666,-231.249.341,837.041.563,161.910.525,82.138.118,-2.463.749.104,good
699,-79.959.372,-501.724.994,2.197.018.238,-177.494.615,1.263.451.954,633.092.235,-1.501.630.364,good
700,-2.689.383.738,2.066.926.457,-1.427.389.313,-47.896.347,-531.704.481,2.245.740.992,20.247.306,bad
701,271.399.803,-434.397.244,-2.925.265.478,37.323.772,4.092.310.372,45.408.447,1.264.206.323,bad
702,795.945.873,-565.885.841,-3.279.889.656,1.522.496.146,1.547.283.844,2.023.949.401,-1.165.522.925,bad
703,1.106.745.865,367.475.602,-525.265.842,216.808.085,-2.019.267.894,72.109.686,2.862.160.014,bad
704,-3.210.096.252,2.248.710.703,-990.902.516,460.362.956,2.445.018.079,-1.539.849.766,-2.760.396.429,good
705,1.802.925.439,-12.751.764,-580.450.036,1.464.141.455,-129.531.045,-570.566.006,1.348.302.458,good
706,-2.850.374.812,-2.757.134.583,396.463.921,-693.719,904.780.957,3.636.491.732,-2.251.067.315,bad
707,-199.288.647,1.212.181.889,-534.498.781,-411.726.336,1.231.652.006,-1.202.446.122,2.823.337.043,good
708,-139.460.024,2.187.994.312,-547.832.311,-105.251.812,-1.739.331.976,111.600.466,-2.924.269.341,good
709,28.745.728,1.186.992.124,666.876.228,2.193.248.134,-144.054.997,-3.155.569.478,2.405.654.839,bad
710,-2.532.791.508,-3.123.671.509,1.117.364.292,-279.016.526,154.359.374,1.752.811.559,-3.755.760.233,bad
711,2.276.050.991,2.065.994.845,-885.218.791,732.731.741,-446.584.553,-2.713.263.024,-2.449.861.733,bad
712,-3.900.710.623,-1.295.270.791,-882.283.558,253.104.502,-866.996.586,2.692.471.885,3.616.898.168,bad
713,-435.185.942,4.512.287,-984.333.349,975.638.058,365.460.402,514.146.469,553.472.889,bad
714,-3.684.835.015,591.154.443,2.158.562.671,138.333.164,2.358.521.534,-1.256.500.499,-464.272.899,good
715,1.117.611.931,1.536.751.806,-669.110.457,-1.093.276.821,-1.805.122.066,778.337.026,2.073.017.847,good
716,3.344.186.864,-2.227.149.535,-426.076.894,379.436.756,1.793.789.427,154.166.255,2.666.099.628,good
717,337.684.115,-412.041.751,-213.399.608,1.965.744.567,27.289.502,-1.855.056.957,3.658.487.446,bad
718,395.927.611,-38.995.552,1.420.567.824,871.466.375,-2.453.601.982,965.292.169,-2.152.558.033,bad
719,-1.265.104.584,330.938.457,586.008.292,1.727.311.454,371.201.965,-3.324.980.144,369.160.911,good
720,-2.828.707.352,864.626.494,-3.149.638.826,5.376.275,-3.261.025.914,4.171.440.258,2.102.061.885,bad
721,-29.846.307,-1.469.843.285,-15.427.769,89.371.561,4.009.206.464,1.125.919.794,292.642.631,bad
722,-720.649.579,-2.904.340.989,2.649.370.106,1.598.382.197,1.400.860.421,1.707.681.788,-396.285.908,good
723,1.581.152.669,-652.555.081,136.983.833,107.289.981,1.856.107.235,923.460.762,-2.343.748.011,good
724,-660.915.959,-443.474.622,1.671.432.856,-1.576.264.045,-472.510.434,1.373.037.521,-4.224.755.889,good
725,1.169.950.458,-1.371.426.444,-1.011.931.293,806.846.812,-302.614.816,936.428.538,-1.230.442.485,bad
726,-1.841.877.176,279.273.657,-107.076.065,1.334.892.707,44.820.116,149.958.592,174.434.142,bad
727,-95.512.382,-3.142.715.263,-3.770.586.596,349.588.686,1.954.212.581,3.927.793.628,73.058.333,bad
728,-25.881.076,-2.799.969.111,442.402.392,2.767.826.154,-2.158.892.994,-115.023.488,-2.236.208.646,bad
729,167.621.402,310.686.676,-670.360.549,1.975.891.897,-1.358.239.008,549.871.902,-3.769.068.269,bad
730,-374.739.412,-1.869.798.513,-1.943.525.306,-2.128.921.578,2.625.058.465,-340.250.337,-103.820.733,good
731,786.645.245,-1.188.885.508,-703.423.294,202.625.747,-164.522.692,2.108.956.451,-728.190.556,good
732,21.857.937,728.142.262,-3.226.527.878,3.844.565.893,-3.489.782.166,561.874.951,-1.506.333.071,good
733,-500.416.166,-1.898.359.987,3.126.678.492,2.563.035.202,2.919.934.022,-984.561.145,-2.318.115.994,good
734,-1.557.356.234,-1.846.123.803,2.114.118.329,362.187.895,1.571.253.465,623.795.348,-423.856.214,good
735,-1.252.079.173,379.558.653,630.378.058,895.983.698,1.815.175.987,584.135.752,-773.422.808,good
736,1.187.048.641,-2.198.453.033,-345.532.456,2.267.265.963,2.985.937.267,-2.420.051.282,2.009.993.218,good
737,-1.815.876.845,-40.045.568,234.227.803,1.089.550.554,2.367.843.489,97.999.814,383.759.484,bad
738,3.414.941.934,-60.342.316,665.699.308,-1.788.599.548,4.022.488.353,-29.982.674,386.888.573,good
739,-1.771.100.824,307.564.105,1.831.174.568,1.434.226.006,1.015.248.742,-765.246.239,480.489.556,bad
740,-2.161.940.963,-14.473.304,42.407.326,1.724.669.471,2.092.702.871,-768.827.347,-3.133.212.644,good
741,77.349.052,-171.175.126,-1.364.395.781,4.491.519.184,-1.127.824.548,-2.438.635.299,1.521.444,good
742,-3.389.829.188,-214.743.647,-19.302.648,-90.579.927,1.521.472.718,690.230.884,3.506.464.979,bad
743,848.270.123,-743.180.273,-1.524.567.061,1.043.947.841,51.421.072,1.169.524.813,-1.284.494.762,bad
744,122.972.101,-2.433.089.799,1.315.823.589,1.138.015.837,-401.675.315,828.747.696,-1.031.509.395,bad
745,-30.019.224,-564.789.264,84.220.586,-471.203.387,-1.118.355.565,1.548.180.434,-2.814.401.245,good
746,-5.240.766.596,-4.111.889.864,1.299.108.254,157.964.732,4.177.133.437,3.069.097.529,5.136.138.788,bad
747,499.325.953,-811.649.505,-2.149.115.419,-220.934.346,705.806.099,33.147.926,-1.849.898.792,bad
748,-419.496.006,-1.971.827.766,915.397.997,618.480.546,1.717.537.573,1.445.815.014,-3.032.779.136,good
749,564.192.064,-591.640.455,-1.294.808.081,210.753.591,1.470.738.327,-1.610.299.873,1.986.156.356,good
750,228.939.051,-1.708.811.464,-828.780.567,3.015.667.814,-3.718.843.645,-136.673.699,254.018.717,bad
751,517.881.697,-257.873.522,-3.349.119.296,1.918.513.719,296.203.604,42.440.421,-1.504.922.768,good
752,-941.131.251,-2.017.366.702,385.144.928,-171.422.667,1.096.906.323,-1.308.254.734,459.723.265,good
753,1.402.216.543,-4.937.309.888,2.706.025.183,2.238.135.063,193.797.382,2.651.331.793,988.540.998,good
754,2.144.165.807,1.219.872.107,-3.862.483.891,1.987.819.649,-1.188.190.069,1.102.201.148,2.397.487.419,bad
755,-2.516.579.279,-1.226.960.389,-358.848.026,417.753.301,1.258.175.411,1.801.802.496,889.659.108,bad
756,-1.316.792.609,-193.554.135,-1.596.090.725,2.043.707.396,-252.268.641,427.052.368,-500.546.815,bad
757,-4.196.919.423,-1.354.339.065,969.585.407,2.694.997.845,-1.530.658.751,2.023.067.324,2.177.282.174,bad
758,689.291.859,-1.206.374.477,-370.501.989,2.230.612.096,982.219.151,1.854.799.828,-213.497.313,good
759,2.365.988.943,-40.845.916,-1.889.352.773,317.035.839,2.321.174.952,201.606.158,2.966.694.832,good
760,-302.209.634,-993.247.195,553.134.263,-16.591.682,563.980.159,-171.596.885,733.549.657,good
761,4.001.401.262,-3.329.200.407,-2.392.717.056,2.610.137.214,1.521.951.789,299.683.493,-160.762.434,good
762,-1.249.399.529,-1.637.317.461,3.791.557.344,-871.272.572,416.662.087,771.730.838,-921.359.724,good
763,-53.152.308,1.046.667.333,-163.591.584,546.581.746,-903.102.539,-100.313.221,-1.635.295.535,good
764,-2.814.610.051,-944.456.321,319.110.046,683.216.128,2.219.502.701,1.042.943.089,-115.563.525,good
765,824.070.525,-2.257.004.323,191.330.702,3.010.131.398,214.432.693,1.425.293.055,-905.345.771,good
766,-2.603.643.479,-1.032.224.551,945.973.408,1.522.356.868,2.891.498.007,-723.236.555,-1.065.906.691,good
767,-129.844.431,404.794.761,-50.159.161,-459.808.117,2.756.893.652,-2.082.683.625,243.968.297,bad
768,831.842.816,-265.103.621,-2.592.301.126,1.024.016.111,-249.262.804,-213.886.285,660.854.694,bad
769,1.975.435.166,1.479.167.094,-128.163.655,94.645.075,2.811.324.265,-2.693.316.224,-471.432.166,bad
770,644.361.094,1.949.245.987,-518.537.193,1.210.917.419,-260.259.898,-1.298.721.749,2.620.061.624,good
771,955.828.775,-1.167.741.606,-61.359.841,967.625.157,2.174.940.621,-1.811.067.574,1.562.067.587,good
772,-1.881.170.427,-1.667.603.375,-782.308.335,1.454.963.173,181.973.469,1.448.284.524,2.205.699.038,bad
773,-2.098.505.272,-194.447.541,-637.154.192,2.859.707.185,-2.327.216.894,2.262.637.039,-133.782.954,bad
774,105.884.278,-79.005.564,-1.543.831.562,-550.619.715,442.155.252,86.762.188,317.555.935,good
775,566.591.691,-2.708.646.196,-3.313.180.518,663.354.391,1.086.875.939,33.528.092,-995.586.036,good
776,1.147.448.359,1.961.559.391,-1.586.544.987,2.511.214.433,-1.274.645.856,-784.790.247,1.330.072.744,good
777,761.384.554,-151.109.858,-159.713.258,2.918.391.318,-707.816.391,-1.398.917.352,-29.111.848,good
778,-11.774.893,-1.130.156.886,-464.591.893,870.983.531,-1.811.329.436,661.748.107,-1.131.353.718,bad
779,-2.980.741.437,101.515.699,3.011.631.798,-369.518.392,2.570.251.972,-855.631.662,-1.770.887.232,good
780,-840.793.436,-372.039.621,2.913.149.836,1.528.257.646,79.635.041,1.955.687.623,-539.101.247,good
781,1.081.000.545,-648.706.965,1.237.449.353,314.275.607,463.345.072,-1.691.862.234,2.524.304.064,good
782,-2.268.585.842,-1.789.799.965,1.445.566.185,1.056.595.714,-246.535.745,691.889.291,-382.318.078,bad
783,515.237.684,-1.136.337.349,-5.184.551.921,1.021.673.716,1.884.687.189,3.626.036.715,-175.329.442,bad
784,-1.540.001.237,-316.826.247,1.122.198.693,1.852.148.673,2.343.956.996,-32.854.209,351.966.322,good
785,-4.145.439.993,777.986.007,1.487.350.603,2.065.713.154,3.403.159.187,-2.632.625.896,-1.263.063.979,good
786,331.362.605,21.769.289,-294.635.627,-4.087.563.079,3.348.488.672,1.584.653.935,4.623.162.668,good
787,206.547.763,-2.402.223.572,-3.101.408.793,3.617.004.291,1.900.639.338,-941.696.086,-373.300.429,good
788,456.051.546,1.089.813.315,-2.015.435.584,1.693.630.623,1.399.263.107,88.161.806,-2.746.453.526,good
789,-129.909.173,-1.125.194.457,-2.018.248.212,112.943.295,-1.594.746.863,1.360.336.988,-2.556.007.083,bad
790,-645.857.932,-2.564.352.832,-1.615.879.586,326.544.852,2.884.080.943,1.869.757.024,4.325.308.624,bad
791,-2.477.605.551,-657.952.543,-2.094.640.965,1.580.006.074,-911.672.865,-419.339.383,-2.949.443.677,bad
792,-547.609.979,-2.547.939.461,-869.051.647,459.271.777,-1.291.142.939,1.138.855.808,-3.099.057.262,bad
793,-2.246.946.038,-670.184.669,-1.117.857.289,950.289.632,299.011.514,1.954.981.502,-851.295.192,bad
794,440.484.047,856.486.822,-27.591.664,5.279.085.234,14.865.358,-4.071.384.356,-1.319.501.638,good
795,638.544.397,-3.094.348.429,-1.503.426.721,2.226.712.912,-3.532.452.341,565.242.593,-2.053.694.418,bad
796,946.640.223,629.283.216,662.392.512,1.196.954.673,-71.791.166,-179.707.199,584.263.593,good
797,-1.976.268.309,-169.747.492,3.938.755.942,-937.526.951,-1.122.784.652,-43.763.828,-812.285.956,bad
798,-1.920.002.717,-1.921.485.556,695.241.953,390.592.344,-765.199.465,104.654.673,-2.087.742.829,bad
799,-1.334.120.096,-322.731.063,-1.231.597.544,1.438.142.252,-559.514.528,1.964.592.957,-3.480.103.771,bad
800,599.557.515,-2.156.929.712,-504.306.744,2.228.544.675,-1.122.550.916,-460.466.896,-1.604.760.616,bad
801,-620.788.061,-2.230.090.755,-4.083.172.845,-326.026.732,3.299.766.828,3.854.242.476,448.603.514,bad
802,-193.944.674,-364.142.368,-3.365.108.015,2.898.543.609,-3.947.638.432,-222.995.118,-1.498.635.305,good
803,-1.071.852.907,-1.496.799.183,-303.022.922,1.425.077.791,218.307.578,1.532.804.006,1.433.817.427,good
804,-276.871.875,-1.280.344.096,1.377.729.536,-607.729.727,-1.349.679.892,268.824.004,-58.599.695,good
805,374.536.197,-17.120.865,-773.124.611,1.456.375.952,-2.345.211.146,-586.197.257,120.913.067,good
806,-859.886.092,-1.247.253.803,-765.135.435,725.937.861,-97.618.505,27.884.569,-198.172.907,bad
807,491.487.594,99.524.645,305.770.324,-2.601.084.495,2.731.338.602,-599.310.619,3.451.955.025,good
808,-501.598.942,-1.556.065.124,-1.492.657.738,2.169.665.907,-1.260.127.897,-1.199.729.262,-960.916.549,good
809,1.004.670.265,86.562.376,-827.722.199,-12.644.899,-1.335.902.881,171.168.246,1.186.177.549,good
810,-1.158.851.732,-302.616.535,-1.553.845.922,702.148.656,3.310.212.404,2.621.771.964,2.840.613.192,bad
811,-4.511.513.904,2.188.929.361,-3.494.677.385,-1.016.464.622,1.374.406.703,4.080.823.227,180.781.197,bad
812,1.867.918.933,-1.525.489.177,-1.733.019.884,1.136.499.372,-2.357.744.147,323.036.097,-912.395.857,bad
813,1.666.354.406,-3.521.163.155,-3.208.839.842,1.834.060.148,1.008.371.578,487.534.028,-46.500.337,good
814,854.038.155,108.069.172,-212.660.603,2.659.532.775,-1.821.791.809,-1.964.684.026,-1.260.379.857,bad
815,-1.234.336.601,-1.516.148.546,721.187.524,817.262.734,-137.655.158,229.357.028,171.314.883,bad
816,-273.281.581,-3.070.515.552,748.094.683,981.393.707,3.254.542.997,-318.076.517,1.780.316.712,good
817,469.295.728,645.451.496,767.765.675,3.453.803.384,-3.158.562.026,-2.253.011.654,1.010.451.335,good
818,-2.835.124.117,-303.738.531,143.170.742,701.498.078,1.928.976.962,235.919.519,-3.274.083.513,good
819,235.342.735,-227.967.331,-740.084.547,2.627.467.533,506.160.407,1.822.820.696,-1.409.884.405,good
820,-3.382.308.674,7.894.689,-473.654.096,360.837.466,6.098.778.481,-2.436.304.881,-3.566.359.317,good
821,359.662.874,860.022.963,-533.276.843,788.401.387,1.616.287.058,-713.700.147,-2.943.063.246,bad
822,801.531.124,-3.959.029.797,2.661.273.314,1.425.869.419,-3.065.994.437,-67.518.606,-1.353.715.891,bad
823,-712.120.174,1.314.940.544,-1.574.883.475,941.322.043,-592.441.001,2.410.665.859,3.416.639.346,good
824,1.424.142.624,-1.947.901.143,-1.708.657.566,-2.524.045.132,1.352.450.039,1.414.486.069,1.555.914.074,good
825,712.348.023,-588.145.258,-3.215.423.067,1.089.867.132,47.536.897,386.937.554,633.750.281,good
826,-235.387,1.695.746.742,-2.450.548.818,-261.871.045,-952.682.965,441.957.991,953.241.072,good
827,-564.969.539,60.714.672,-1.074.753.678,-24.840.049,-579.623.518,-1.106.184.981,-1.564.030.154,good
828,-21.434.986,-2.319.250.296,3.079.069.045,-421.976.554,-944.833.448,3.129.955.019,1.769.225.354,good
829,2.532.592.573,-1.339.048.805,-1.828.441.017,3.803.012.593,100.342.137,-950.687.173,735.685.801,good
830,-3.116.365.349,-1.324.666.484,1.351.346.126,1.691.244.658,2.675.275.745,-471.181.918,-1.990.831.514,good
831,427.912.246,1.773.682.052,1.236.277.992,-1.627.970.413,2.250.017.748,-1.973.513.241,2.120.970.261,good
832,-3.861.955.439,-722.187.565,2.712.540.816,43.894.313,1.100.943.111,144.929.021,-1.853.269.386,good
833,-11.935.875,-1.868.233.134,2.716.261.806,1.331.909.323,272.557.793,243.465.261,2.788.116.753,good
834,670.619.332,-288.045.567,-1.846.987.396,1.156.195.324,1.371.368.979,1.984.478.696,-67.216.749,bad
835,-245.488.448,-2.933.223.854,1.122.287.204,1.516.149.917,176.362.484,1.957.459.911,-1.675.279.484,good
836,-1.039.686.257,-962.083.511,112.901.048,2.282.390.472,3.534.974.434,-250.887.033,-484.022.389,good
837,2.362.734.075,-3.805.766.207,203.760.742,1.640.957.385,-159.925.564,-181.641.586,-2.538.324.231,bad
838,1.487.181.294,-1.822.071.356,81.473.257,802.818.958,1.933.549.944,-1.841.884.042,2.448.169.699,good
839,-2.333.227.356,789.809.118,-320.618.907,92.722.216,72.852.649,728.017.955,-347.105.338,good
840,824.893.785,-178.435.425,-406.084.364,-1.794.132.298,-1.537.090.702,3.647.572.905,-2.314.749.819,good
841,-3.663.084.494,-178.635.441,1.719.192.885,-48.221.143,4.262.458.179,781.106.779,-1.877.867.469,bad
842,2.878.544.937,-2.070.839.258,-1.835.366.993,2.761.433.941,1.987.128.936,-604.237.302,2.150.572.298,good
843,-193.807.072,1.279.221.031,-580.563.466,-5.449.535,-1.276.169.703,-3.592.016.909,2.392.763.422,bad
844,-3.400.132.749,-985.380.212,18.261.124,93.448.081,2.549.179.978,295.947.032,1.565.061.386,bad
845,-155.343.846,657.055.442,-2.956.942.332,-160.108.301,1.891.135.484,2.784.584.769,-751.640.827,bad
846,-27.194.342,-762.935.746,1.086.550.385,753.758.949,500.654.985,-2.680.673.165,1.608.708.742,bad
847,123.571.386,-2.921.409.785,1.443.927.778,23.997.185,-315.445.298,283.987.997,-253.866.598,good
848,-109.716.949,1.375.531.166,-684.202.183,1.990.823.744,2.508.599.359,-3.885.317.568,894.076.504,good
849,-3.248.587.388,2.638.634.814,46.550.767,-361.372.738,1.424.206.367,-1.778.394.318,-3.425.881.972,good
850,86.283.871,-1.673.569.203,1.538.388.617,1.724.465.949,22.025.889,1.461.255.815,72.019.566,good
851,1.806.404.783,-2.355.395.033,-2.061.129,-1.210.372.234,2.765.678.772,-392.659.285,3.104.922.831,good
852,2.008.702.779,-3.759.528.956,801.810.081,252.351.482,-564.672.741,4.041.460.975,1.327.763.059,good
853,-433.219.304,-2.916.016.815,1.182.532.618,580.386.757,276.184.891,3.216.621.611,-81.558.716,good
854,1.476.864.377,-2.308.493.433,-472.105.788,-1.674.135.404,21.078.688,396.478.996,2.714.357.454,good
855,-32.914.168,-2.617.138.117,-1.808.901.507,2.471.154.956,-4.036.115.604,25.530.654,-1.633.272.132,good
856,-3.274.338.775,212.383.753,-4.089.663.305,52.718.621,-2.716.781.477,826.576.671,-2.924.449.787,bad
857,2.150.467.186,-900.114.286,-3.751.657.343,59.912.509,-2.464.789.267,2.764.077.907,638.395.235,good
858,-928.644.679,-1.096.734.171,-2.570.144.912,-95.699.586,2.819.405.655,338.450.512,4.306.908.269,bad
859,-439.465.957,-1.054.024.458,1.611.051.597,542.554.963,657.318.402,-911.034.624,-1.336.415.136,bad
860,246.407.945,-1.672.946.025,-270.204.134,-60.312.112,-1.367.106.745,4.491.703.821,1.210.290.501,good
861,-1.594.125.392,-74.166.841,-2.062.309.758,930.106.043,860.364.897,2.285.538.692,232.869.083,bad
862,-1.073.914.806,-3.048.915.039,-907.396.817,684.222.562,3.169.329.989,261.061.447,2.683.269.381,bad
863,-54.606.103,-539.811.134,-82.096.586,-23.790.602,-559.594.638,2.064.701.664,-4.287.989,bad
864,-633.836.711,-620.323.598,373.926.443,1.128.312.738,1.585.413.416,1.109.217.091,-1.654.340.482,good
865,1.850.968.337,-2.905.569.491,-681.102.095,-1.229.914.623,2.891.594.338,-113.403.287,1.285.039.755,good
866,1.313.660.654,-240.538.867,-1.353.445.838,851.020.495,-1.349.858.871,114.799.055,-1.341.609.287,bad
867,47.047.684,-2.127.997.995,-509.164.344,-232.409.399,3.058.286.118,-48.845.787,517.261.001,good
868,-593.083.739,-614.563.467,-965.532.008,1.375.837.668,-404.390.723,632.694.826,-332.070.551,bad
869,-971.714.995,-202.241.322,-3.069.909.226,-2.042.764,-516.062.475,3.160.649.884,-524.903.868,bad
870,1.578.084.165,334.413.995,-101.491.305,-522.943.561,-1.925.671.648,2.299.389.073,-2.572.776.035,good
871,-1.777.052.048,-1.072.457.943,1.208.179.544,556.007.441,3.466.575.436,-2.480.920.363,5.206.389.947,bad
872,-107.083.969,1.119.342.238,251.089.756,-90.976.042,-11.057.971,-2.045.387.737,-117.180.874,good
873,-77.013.144,-1.479.240.313,-3.473.365.209,733.619.204,1.418.820.787,2.058.232.828,2.829.489.418,bad
874,604.029.065,159.728.447,-817.817.097,364.623.749,1.045.914.587,-1.113.209.506,-1.243.639.196,bad
875,441.504.626,-578.750.902,-3.767.359.783,2.469.893.075,547.227.087,4.035.780.902,-1.692.936.537,bad
876,-1.836.150.855,1.633.075.983,345.968.096,-76.660.052,-1.283.646.636,1.063.778.691,-615.545.776,good
877,103.705.176,639.170.467,-1.800.794.279,3.311.235.973,-1.859.794.026,-1.902.893.789,625.448.453,bad
878,-2.611.419.982,-493.192.096,-2.293.999.028,-187.564.463,1.470.410.307,3.856.738.856,-1.083.532.988,bad
879,1.365.953.419,-1.865.934.764,-261.515.723,704.463.338,-2.727.113.289,28.381.246,-284.060.724,bad
880,-3.750.910.643,-2.177.965.299,22.582.748,2.112.759.981,-801.952.171,17.957.333,3.267.287.974,bad
881,1.868.966.632,-2.573.740.286,690.511.287,3.867.121.841,1.327.659.942,1.919.372.796,298.371.281,good
882,1.665.869.396,-1.351.977.363,-250.718.905,-1.424.865.139,2.417.688.229,-1.028.009.621,2.049.558.231,bad
883,316.580.405,-1.419.342.914,-2.793.661.703,-561.515.274,2.987.417.367,2.030.202.575,-1.256.130.956,bad
884,1.676.050.627,84.912.409,-1.391.431.991,2.697.710.377,766.977.636,-1.573.760.873,495.656.913,good
885,-198.735.513,-2.063.500.805,563.590.169,126.890.362,-1.865.621.017,173.999.543,-102.428.096,bad
886,238.669.846,1.108.557.014,-1.277.840.288,4.882.421.465,-161.489.057,-1.471.722.502,1.511.514.415,good
887,-3.482.217.761,-4.393.686.324,761.270.236,1.129.801.023,2.166.422.534,2.999.227.578,4.022.184.389,bad
888,-286.679.192,-1.726.295.289,-241.288.132,2.685.789.863,-1.765.188.865,-159.748.947,-490.589.561,bad
889,1.920.744.568,-559.234.342,35.833.868,1.617.297.322,841.690.416,3.208.947.823,175.325.013,good
890,1.183.319.965,-344.738.139,-179.992.184,63.167.158,-3.324.806.517,120.624.438,-37.423.169,bad
891,2.874.264.692,-3.702.880.406,-1.704.317.417,396.381.078,90.643.722,-1.058.041.898,-2.191.083.585,good
892,-1.226.355.243,-1.077.611.973,726.008.682,2.805.508.746,-1.379.518.527,76.257.795,-714.199.104,bad
893,474.937.608,-1.843.766.141,-108.722.644,3.661.634.847,-1.013.733.601,-2.148.029.499,1.133.950.788,good
894,-111.969.739,-1.024.187.315,966.901.048,-692.898.581,1.025.535.771,-2.201.253.741,1.073.826.134,good
895,-1.347.178.263,3.821.094.043,-1.563.330.498,3.648.971.907,-2.425.278.302,-2.482.908.816,-153.359.887,good
896,-255.417.492,-37.245.144,-2.289.936.321,2.299.078.697,-806.970.221,-632.365.628,-1.109.603.654,good
897,-1.701.201.299,-825.931.857,135.033.649,-464.458.651,995.155.776,867.103.783,-3.090.406.634,good
898,-2.434.181.469,-2.395.268.733,-366.694.008,689.192.609,3.285.802.082,3.970.508.519,-681.570.939,bad
899,2.081.552.632,-3.903.800.493,2.628.814.038,3.289.790.388,304.922.106,2.287.815.754,2.600.239.701,good
900,459.343.355,-485.814.403,1.262.989.771,2.142.451.018,237.014.379,-3.065.212.237,3.496.538.098,bad
901,-1.065.431.023,143.722.638,-274.007.107,1.707.320.601,150.847.751,3.965.112.143,-2.061.053.621,bad
902,-2.142.423.097,1.952.107.472,-2.521.274.217,39.862.791,823.257.484,683.039.333,-3.759.799.863,good
903,2.892.774.871,900.971.232,-418.609.504,459.193.582,-46.612.229,-1.787.328.692,2.215.688.603,good
904,1.390.972.897,-3.280.604.021,-874.736.404,152.799.777,370.972.063,-1.499.698.377,2.564.238.209,good
905,121.914.996,-949.051.136,-2.883.909.254,2.798.849.457,-1.042.559.857,-530.314.421,-45.183.862,good
906,1.157.303.066,-1.667.305.035,-393.396.393,4.061.074.114,-3.066.174.072,-20.476.977,-1.101.755.862,bad
907,-1.424.181.699,-2.184.957.665,772.973.172,-1.203.528.884,736.420.181,1.820.272.944,-3.016.466.776,bad
908,-477.195.098,-563.953.679,3.055.651.672,1.079.078.944,-301.910.354,-1.203.179.955,97.284.771,bad
909,-882.610.481,-64.112.922,-553.560.019,162.855.688,-1.123.233.714,1.872.529.539,922.071.266,bad
910,2.466.118.683,-2.925.495.981,927.684.636,2.071.177.352,1.358.283.471,3.139.909.748,242.129.939,good
911,-350.124.848,2.726.108.355,368.016.902,1.630.109.945,-456.240.366,-2.630.265.952,186.746.951,good
912,-376.141.097,-2.257.383.581,1.172.807.734,572.536.585,-1.032.369.809,2.786.392.233,-166.934.434,good
913,-1.423.470.887,-205.003.694,-23.427.374,1.218.013.103,-3.133.455.532,631.300.209,1.367.064.815,bad
914,-3.699.118.599,-1.922.430.354,-1.971.064.255,2.204.418.404,115.186.441,1.769.828.258,-3.135.860.673,bad
915,3.318.008.046,-4.747.398.999,2.240.393.389,35.499.494,-146.626.932,3.265.215.353,2.577.473.097,good
916,964.352.824,-102.662.996,-410.942.931,2.577.588.565,-3.129.066.404,-1.374.076.067,291.800.325,bad
917,-886.589.942,-1.190.352.787,-447.499.168,-2.516.764.475,363.910.378,-507.086.241,-813.557.818,good
918,-677.468.458,-593.619.979,-3.458.919.696,-31.201.413,440.183.699,31.564.418,-1.532.051.498,good
919,-2.651.578.571,-378.202.438,-249.375.469,235.130.877,27.963.485,82.733.629,-1.724.640.045,bad
920,155.755.892,-698.560.269,766.754.928,1.865.080.701,-28.554.256,944.385.629,-1.012.158.006,good
921,-56.576.727,1.342.609.339,-2.871.666.494,92.810.013,14.688.122,1.807.683.039,70.887.645,bad
922,87.174.363,-1.138.952.157,-1.145.771.569,2.806.365.946,2.231.873.757,459.553.503,-2.639.978.091,good
923,-3.265.543.488,-102.756.021,-2.200.223.918,-2.161.813.516,212.343.533,3.672.672.642,-4.382.106.445,bad
924,-1.342.243.145,-1.610.086.814,20.057.262,210.336.904,1.376.180.858,-997.026.635,3.489.358.464,bad
925,-1.953.494.882,1.458.415.502,-1.243.689.029,-565.880.003,107.431.623,306.922.814,-365.321.852,good
926,-304.106.033,-2.043.459.692,-1.298.910.602,856.508.654,2.040.179.884,4.474.077.394,138.001.968,bad
927,-844.439.361,-254.502.454,2.782.870.463,1.439.656.354,3.140.890.888,441.873.909,-2.189.896.681,good
928,76.444.123,-896.610.197,-1.105.304.552,1.389.610.378,848.940.578,1.532.208.376,-159.626.345,bad
929,1.399.783.572,1.036.337.966,-642.470.642,1.480.019.356,-925.231.097,1.131.227.991,-2.384.086.925,good
930,923.694.005,664.399.808,-3.141.028.855,3.061.432.051,-24.205.667,1.954.008.085,618.410.208,good
931,-1.476.159.999,-320.603.978,-424.914.108,313.640.904,1.135.044.969,919.930.371,-1.361.351.188,bad
932,-2.614.034.085,-3.357.348.201,-3.308.691.107,-909.421.134,349.454.088,4.975.883.944,2.058.232.952,bad
933,-433.820.028,-1.531.881,143.291.289,64.761.814,-790.599.917,-710.096.682,-311.928.118,bad
934,2.913.226.335,-4.513.222.772,-1.735.331.568,-774.266.043,5.084.390.973,320.790.603,1.975.611.851,good
935,-1.904.698.829,-2.763.748.946,1.204.186.724,2.444.800.877,-761.010.968,-591.908.381,-2.350.263.746,bad
